"Plot Title: garibaldi_hobo_22_2019"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10201239, SEN S/N: 10201239, LBL: temp_C)","Coupler Attached (LGR S/N: 10201239)","Host Connected (LGR S/N: 10201239)","Stopped (LGR S/N: 10201239)","End Of File (LGR S/N: 10201239)"
122,09/04/19 01:00:00  PM,45.577,,,,
123,09/04/19 02:00:00  PM,49.090,,,,
124,09/04/19 03:00:00  PM,49.360,,,,
125,09/04/19 04:00:00  PM,47.499,,,,
126,09/04/19 05:00:00  PM,37.384,,,,
127,09/04/19 06:00:00  PM,24.738,,,,
128,09/04/19 07:00:00  PM,9.176,,,,
129,09/04/19 08:00:00  PM,4.207,,,,
130,09/04/19 09:00:00  PM,1.221,,,,
131,09/04/19 10:00:00  PM,-0.325,,,,
132,09/04/19 11:00:00  PM,-1.341,,,,
133,09/05/19 12:00:00  AM,-0.774,,,,
134,09/05/19 01:00:00  AM,1.221,,,,
135,09/05/19 02:00:00  AM,0.893,,,,
136,09/05/19 03:00:00  AM,1.112,,,,
137,09/05/19 04:00:00  AM,-2.030,,,,
138,09/05/19 05:00:00  AM,-1.570,,,,
139,09/05/19 06:00:00  AM,-1.570,,,,
140,09/05/19 07:00:00  AM,-1.570,,,,
141,09/05/19 08:00:00  AM,-0.662,,,,
142,09/05/19 09:00:00  AM,11.334,,,,
143,09/05/19 10:00:00  AM,25.416,,,,
144,09/05/19 11:00:00  AM,33.639,,,,
145,09/05/19 12:00:00  PM,42.520,,,,
146,09/05/19 01:00:00  PM,49.632,,,,
147,09/05/19 02:00:00  PM,53.757,,,,
148,09/05/19 03:00:00  PM,33.326,,,,
149,09/05/19 04:00:00  PM,30.760,,,,
150,09/05/19 05:00:00  PM,21.091,,,,
151,09/05/19 06:00:00  PM,26.195,,,,
152,09/05/19 07:00:00  PM,8.779,,,,
153,09/05/19 08:00:00  PM,4.311,,,,
154,09/05/19 09:00:00  PM,3.998,,,,
155,09/05/19 10:00:00  PM,2.517,,,,
156,09/05/19 11:00:00  PM,3.578,,,,
157,09/06/19 12:00:00  AM,3.472,,,,
158,09/06/19 01:00:00  AM,2.517,,,,
159,09/06/19 02:00:00  AM,0.010,,,,
160,09/06/19 03:00:00  AM,1.221,,,,
161,09/06/19 04:00:00  AM,1.003,,,,
162,09/06/19 05:00:00  AM,1.872,,,,
163,09/06/19 06:00:00  AM,2.730,,,,
164,09/06/19 07:00:00  AM,3.472,,,,
165,09/06/19 08:00:00  AM,4.415,,,,
166,09/06/19 09:00:00  AM,13.942,,,,
167,09/06/19 10:00:00  AM,25.805,,,,
168,09/06/19 11:00:00  AM,34.691,,,,
169,09/06/19 12:00:00  PM,40.876,,,,
170,09/06/19 01:00:00  PM,48.687,,,,
171,09/06/19 02:00:00  PM,52.293,,,,
172,09/06/19 03:00:00  PM,51.154,,,,
173,09/06/19 04:00:00  PM,46.722,,,,
174,09/06/19 05:00:00  PM,41.458,,,,
175,09/06/19 06:00:00  PM,24.255,,,,
176,09/06/19 07:00:00  PM,9.472,,,,
177,09/06/19 08:00:00  PM,5.962,,,,
178,09/06/19 09:00:00  PM,5.450,,,,
179,09/06/19 10:00:00  PM,3.683,,,,
180,09/06/19 11:00:00  PM,2.303,,,,
181,09/07/19 12:00:00  AM,0.121,,,,
182,09/07/19 01:00:00  AM,-0.213,,,,
183,09/07/19 02:00:00  AM,-0.774,,,,
184,09/07/19 03:00:00  AM,0.784,,,,
185,09/07/19 04:00:00  AM,0.343,,,,
186,09/07/19 05:00:00  AM,0.010,,,,
187,09/07/19 06:00:00  AM,1.764,,,,
188,09/07/19 07:00:00  AM,2.303,,,,
189,09/07/19 08:00:00  AM,4.102,,,,
190,09/07/19 09:00:00  AM,10.259,,,,
191,09/07/19 10:00:00  AM,19.377,,,,
192,09/07/19 11:00:00  AM,27.862,,,,
193,09/07/19 12:00:00  PM,25.125,,,,
194,09/07/19 01:00:00  PM,29.252,,,,
195,09/07/19 02:00:00  PM,18.140,,,,
196,09/07/19 03:00:00  PM,17.855,,,,
197,09/07/19 04:00:00  PM,19.948,,,,
198,09/07/19 05:00:00  PM,17.760,,,,
199,09/07/19 06:00:00  PM,16.141,,,,
200,09/07/19 07:00:00  PM,14.613,,,,
201,09/07/19 08:00:00  PM,6.471,,,,
202,09/07/19 09:00:00  PM,2.624,,,,
203,09/07/19 10:00:00  PM,4.831,,,,
204,09/07/19 11:00:00  PM,5.757,,,,
205,09/08/19 12:00:00  AM,7.782,,,,
206,09/08/19 01:00:00  AM,8.382,,,,
207,09/08/19 02:00:00  AM,8.779,,,,
208,09/08/19 03:00:00  AM,8.581,,,,
