"Plot Title: garibaldi_hobo_15_2019"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 9797269, SEN S/N: 9797269)","Coupler Attached (LGR S/N: 9797269)","Host Connected (LGR S/N: 9797269)","Stopped (LGR S/N: 9797269)","End Of File (LGR S/N: 9797269)"
1,08/30/19 12:00:00  PM,16.427,,,,
2,08/30/19 01:00:00  PM,14.134,,,,
3,08/30/19 02:00:00  PM,13.942,,,,
4,08/30/19 03:00:00  PM,14.134,,,,
5,08/30/19 04:00:00  PM,17.189,,,,
6,08/30/19 05:00:00  PM,15.473,,,,
7,08/30/19 06:00:00  PM,11.722,,,,
8,08/30/19 07:00:00  PM,12.690,,,,
9,08/30/19 08:00:00  PM,9.965,,,,
10,08/30/19 09:00:00  PM,9.373,,,,
11,08/30/19 10:00:00  PM,9.077,,,,
12,08/30/19 11:00:00  PM,8.581,,,,
13,08/31/19 12:00:00  AM,9.866,,,,
14,08/31/19 01:00:00  AM,8.182,,,,
15,08/31/19 02:00:00  AM,8.581,,,,
16,08/31/19 03:00:00  AM,7.280,,,,
17,08/31/19 04:00:00  AM,6.978,,,,
18,08/31/19 05:00:00  AM,6.978,,,,
19,08/31/19 06:00:00  AM,6.674,,,,
20,08/31/19 07:00:00  AM,6.775,,,,
21,08/31/19 08:00:00  AM,8.581,,,,
22,08/31/19 09:00:00  AM,14.325,,,,
23,08/31/19 10:00:00  AM,14.996,,,,
24,08/31/19 11:00:00  AM,18.331,,,,
25,08/31/19 12:00:00  PM,23.004,,,,
26,08/31/19 01:00:00  PM,26.683,,,,
27,08/31/19 02:00:00  PM,23.484,,,,
28,08/31/19 03:00:00  PM,22.333,,,,
29,08/31/19 04:00:00  PM,16.237,,,,
30,08/31/19 05:00:00  PM,17.284,,,,
31,08/31/19 06:00:00  PM,12.883,,,,
32,08/31/19 07:00:00  PM,10.748,,,,
33,08/31/19 08:00:00  PM,9.965,,,,
34,08/31/19 09:00:00  PM,9.373,,,,
35,08/31/19 10:00:00  PM,8.978,,,,
36,08/31/19 11:00:00  PM,8.182,,,,
37,09/01/19 12:00:00  AM,7.682,,,,
38,09/01/19 01:00:00  AM,7.582,,,,
39,09/01/19 02:00:00  AM,6.978,,,,
40,09/01/19 03:00:00  AM,7.582,,,,
41,09/01/19 04:00:00  AM,7.582,,,,
42,09/01/19 05:00:00  AM,7.381,,,,
43,09/01/19 06:00:00  AM,6.370,,,,
44,09/01/19 07:00:00  AM,6.573,,,,
45,09/01/19 08:00:00  AM,8.282,,,,
46,09/01/19 09:00:00  AM,10.357,,,,
47,09/01/19 10:00:00  AM,12.401,,,,
48,09/01/19 11:00:00  AM,10.455,,,,
49,09/01/19 12:00:00  PM,14.709,,,,
50,09/01/19 01:00:00  PM,15.760,,,,
51,09/01/19 02:00:00  PM,16.332,,,,
52,09/01/19 03:00:00  PM,12.883,,,,
53,09/01/19 04:00:00  PM,14.996,,,,
54,09/01/19 05:00:00  PM,12.013,,,,
55,09/01/19 06:00:00  PM,11.625,,,,
56,09/01/19 07:00:00  PM,9.669,,,,
57,09/01/19 08:00:00  PM,7.983,,,,
58,09/01/19 09:00:00  PM,7.179,,,,
59,09/01/19 10:00:00  PM,6.064,,,,
60,09/01/19 11:00:00  PM,5.450,,,,
61,09/02/19 12:00:00  AM,5.037,,,,
62,09/02/19 01:00:00  AM,4.831,,,,
63,09/02/19 02:00:00  AM,4.727,,,,
64,09/02/19 03:00:00  AM,4.519,,,,
65,09/02/19 04:00:00  AM,4.207,,,,
66,09/02/19 05:00:00  AM,4.102,,,,
67,09/02/19 06:00:00  AM,3.998,,,,
68,09/02/19 07:00:00  AM,4.207,,,,
69,09/02/19 08:00:00  AM,4.519,,,,
70,09/02/19 09:00:00  AM,15.473,,,,
71,09/02/19 10:00:00  AM,23.292,,,,
72,09/02/19 11:00:00  AM,26.683,,,,
73,09/02/19 12:00:00  PM,14.804,,,,
74,09/02/19 01:00:00  PM,14.517,,,,
75,09/02/19 02:00:00  PM,18.901,,,,
76,09/02/19 03:00:00  PM,16.523,,,,
77,09/02/19 04:00:00  PM,16.523,,,,
78,09/02/19 05:00:00  PM,20.805,,,,
79,09/02/19 06:00:00  PM,14.804,,,,
80,09/02/19 07:00:00  PM,12.787,,,,
81,09/02/19 08:00:00  PM,9.275,,,,
82,09/02/19 09:00:00  PM,8.481,,,,
83,09/02/19 10:00:00  PM,8.282,,,,
84,09/02/19 11:00:00  PM,8.978,,,,
85,09/03/19 12:00:00  AM,7.481,,,,
86,09/03/19 01:00:00  AM,6.978,,,,
87,09/03/19 02:00:00  AM,6.674,,,,
88,09/03/19 03:00:00  AM,6.877,,,,
89,09/03/19 04:00:00  AM,6.166,,,,
90,09/03/19 05:00:00  AM,6.573,,,,
91,09/03/19 06:00:00  AM,9.275,,,,
92,09/03/19 07:00:00  AM,9.275,,,,
93,09/03/19 08:00:00  AM,7.983,,,,
94,09/03/19 09:00:00  AM,13.076,,,,
95,09/03/19 10:00:00  AM,25.708,,,,
96,09/03/19 11:00:00  AM,22.046,,,,
97,09/03/19 12:00:00  PM,20.805,,,,
98,09/03/19 01:00:00  PM,29.452,,,,
99,09/03/19 02:00:00  PM,18.996,,,,
100,09/03/19 03:00:00  PM,20.615,,,,
101,09/03/19 04:00:00  PM,25.222,,,,
102,09/03/19 05:00:00  PM,11.528,,,,
103,09/03/19 06:00:00  PM,9.965,,,,
104,09/03/19 07:00:00  PM,9.373,,,,
105,09/03/19 08:00:00  PM,7.481,,,,
106,09/03/19 09:00:00  PM,7.079,,,,
