"Plot Title: garibaldi_hobo_16_2019"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10406791, SEN S/N: 10406791)","Bad Battery (LGR S/N: 10406791)","Coupler Attached (LGR S/N: 10406791)","Host Connected (LGR S/N: 10406791)","Stopped (LGR S/N: 10406791)","End Of File (LGR S/N: 10406791)"
117,09/04/19 08:00:00  AM,6.573,,,,,
118,09/04/19 09:00:00  AM,6.471,,,,,
119,09/04/19 10:00:00  AM,16.999,,,,,
120,09/04/19 11:00:00  AM,15.664,,,,,
121,09/04/19 12:00:00  PM,15.187,,,,,
122,09/04/19 01:00:00  PM,15.091,,,,,
123,09/04/19 02:00:00  PM,16.237,,,,,
124,09/04/19 03:00:00  PM,21.282,,,,,
125,09/04/19 04:00:00  PM,26.781,,,,,
126,09/04/19 05:00:00  PM,26.781,,,,,
127,09/04/19 06:00:00  PM,23.581,,,,,
128,09/04/19 07:00:00  PM,25.708,,,,,
129,09/04/19 08:00:00  PM,9.077,,,,,
130,09/04/19 09:00:00  PM,7.079,,,,,
131,09/04/19 10:00:00  PM,6.877,,,,,
132,09/04/19 11:00:00  PM,6.268,,,,,
133,09/05/19 12:00:00  AM,5.347,,,,,
134,09/05/19 01:00:00  AM,4.623,,,,,
135,09/05/19 02:00:00  AM,3.788,,,,,
136,09/05/19 03:00:00  AM,4.311,,,,,
137,09/05/19 04:00:00  AM,3.472,,,,,
138,09/05/19 05:00:00  AM,3.893,,,,,
139,09/05/19 06:00:00  AM,2.624,,,,,
140,09/05/19 07:00:00  AM,3.788,,,,,
141,09/05/19 08:00:00  AM,3.998,,,,,
142,09/05/19 09:00:00  AM,4.415,,,,,
143,09/05/19 10:00:00  AM,18.426,,,,,
144,09/05/19 11:00:00  AM,22.238,,,,,
145,09/05/19 12:00:00  PM,24.545,,,,,
146,09/05/19 01:00:00  PM,29.853,,,,,
147,09/05/19 02:00:00  PM,32.704,,,,,
148,09/05/19 03:00:00  PM,24.351,,,,,
149,09/05/19 04:00:00  PM,23.581,,,,,
150,09/05/19 05:00:00  PM,19.092,,,,,
151,09/05/19 06:00:00  PM,26.097,,,,,
152,09/05/19 07:00:00  PM,23.388,,,,,
153,09/05/19 08:00:00  PM,9.866,,,,,
154,09/05/19 09:00:00  PM,9.571,,,,,
155,09/05/19 10:00:00  PM,7.682,,,,,
156,09/05/19 11:00:00  PM,7.582,,,,,
157,09/06/19 12:00:00  AM,7.179,,,,,
158,09/06/19 01:00:00  AM,6.877,,,,,
159,09/06/19 02:00:00  AM,6.877,,,,,
160,09/06/19 03:00:00  AM,6.573,,,,,
161,09/06/19 04:00:00  AM,6.471,,,,,
162,09/06/19 05:00:00  AM,5.962,,,,,
163,09/06/19 06:00:00  AM,5.450,,,,,
164,09/06/19 07:00:00  AM,5.552,,,,,
165,09/06/19 08:00:00  AM,5.962,,,,,
166,09/06/19 09:00:00  AM,8.282,,,,,
167,09/06/19 10:00:00  AM,18.616,,,,,
168,09/06/19 11:00:00  AM,23.677,,,,,
169,09/06/19 12:00:00  PM,28.357,,,,,
170,09/06/19 01:00:00  PM,30.457,,,,,
171,09/06/19 02:00:00  PM,32.188,,,,,
172,09/06/19 03:00:00  PM,31.983,,,,,
173,09/06/19 04:00:00  PM,31.268,,,,,
174,09/06/19 05:00:00  PM,29.853,,,,,
175,09/06/19 06:00:00  PM,29.452,,,,,
176,09/06/19 07:00:00  PM,19.758,,,,,
177,09/06/19 08:00:00  PM,11.819,,,,,
178,09/06/19 09:00:00  PM,8.382,,,,,
179,09/06/19 10:00:00  PM,8.282,,,,,
180,09/06/19 11:00:00  PM,7.882,,,,,
181,09/07/19 12:00:00  AM,7.079,,,,,
182,09/07/19 01:00:00  AM,6.471,,,,,
183,09/07/19 02:00:00  AM,6.370,,,,,
184,09/07/19 03:00:00  AM,6.268,,,,,
185,09/07/19 04:00:00  AM,5.244,,,,,
186,09/07/19 05:00:00  AM,5.141,,,,,
187,09/07/19 06:00:00  AM,4.831,,,,,
188,09/07/19 07:00:00  AM,5.244,,,,,
189,09/07/19 08:00:00  AM,6.268,,,,,
190,09/07/19 09:00:00  AM,9.373,,,,,
191,09/07/19 10:00:00  AM,15.282,,,,,
192,09/07/19 11:00:00  AM,20.138,,,,,
193,09/07/19 12:00:00  PM,18.806,,,,,
194,09/07/19 01:00:00  PM,20.329,,,,,
195,09/07/19 02:00:00  PM,15.855,,,,,
196,09/07/19 03:00:00  PM,14.230,,,,,
197,09/07/19 04:00:00  PM,16.523,,,,,
198,09/07/19 05:00:00  PM,15.855,,,,,
199,09/07/19 06:00:00  PM,15.569,,,,,
200,09/07/19 07:00:00  PM,18.331,,,,,
