"Plot Title: garibaldi_hobo_2_2019"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10355029, SEN S/N: 10355029, LBL: temp_C)","Coupler Attached (LGR S/N: 10355029)","Host Connected (LGR S/N: 10355029)","Stopped (LGR S/N: 10355029)","End Of File (LGR S/N: 10355029)"
122,07/31/19 01:00:00  PM,18.236,,,,
123,07/31/19 02:00:00  PM,16.141,,,,
124,07/31/19 03:00:00  PM,17.855,,,,
125,07/31/19 04:00:00  PM,16.523,,,,
126,07/31/19 05:00:00  PM,18.140,,,,
127,07/31/19 06:00:00  PM,15.951,,,,
128,07/31/19 07:00:00  PM,13.461,,,,
129,07/31/19 08:00:00  PM,11.334,,,,
130,07/31/19 09:00:00  PM,9.176,,,,
131,07/31/19 10:00:00  PM,7.983,,,,
132,07/31/19 11:00:00  PM,7.782,,,,
133,08/01/19 12:00:00  AM,7.280,,,,
134,08/01/19 01:00:00  AM,7.079,,,,
135,08/01/19 02:00:00  AM,6.674,,,,
136,08/01/19 03:00:00  AM,6.573,,,,
137,08/01/19 04:00:00  AM,6.674,,,,
138,08/01/19 05:00:00  AM,6.978,,,,
139,08/01/19 06:00:00  AM,6.978,,,,
140,08/01/19 07:00:00  AM,7.179,,,,
141,08/01/19 08:00:00  AM,8.481,,,,
142,08/01/19 09:00:00  AM,10.553,,,,
143,08/01/19 10:00:00  AM,9.669,,,,
144,08/01/19 11:00:00  AM,10.161,,,,
145,08/01/19 12:00:00  PM,10.455,,,,
146,08/01/19 01:00:00  PM,10.748,,,,
147,08/01/19 02:00:00  PM,11.236,,,,
148,08/01/19 03:00:00  PM,12.497,,,,
149,08/01/19 04:00:00  PM,11.819,,,,
150,08/01/19 05:00:00  PM,11.139,,,,
151,08/01/19 06:00:00  PM,10.651,,,,
152,08/01/19 07:00:00  PM,10.846,,,,
153,08/01/19 08:00:00  PM,9.866,,,,
154,08/01/19 09:00:00  PM,9.866,,,,
155,08/01/19 10:00:00  PM,10.455,,,,
156,08/01/19 11:00:00  PM,10.651,,,,
157,08/02/19 12:00:00  AM,9.965,,,,
158,08/02/19 01:00:00  AM,10.259,,,,
159,08/02/19 02:00:00  AM,10.063,,,,
160,08/02/19 03:00:00  AM,9.965,,,,
161,08/02/19 04:00:00  AM,9.571,,,,
162,08/02/19 05:00:00  AM,9.571,,,,
163,08/02/19 06:00:00  AM,9.571,,,,
164,08/02/19 07:00:00  AM,9.669,,,,
165,08/02/19 08:00:00  AM,9.275,,,,
166,08/02/19 09:00:00  AM,8.879,,,,
167,08/02/19 10:00:00  AM,8.680,,,,
168,08/02/19 11:00:00  AM,8.978,,,,
169,08/02/19 12:00:00  PM,9.866,,,,
170,08/02/19 01:00:00  PM,12.304,,,,
171,08/02/19 02:00:00  PM,17.284,,,,
172,08/02/19 03:00:00  PM,17.665,,,,
173,08/02/19 04:00:00  PM,20.615,,,,
174,08/02/19 05:00:00  PM,18.996,,,,
175,08/02/19 06:00:00  PM,13.846,,,,
176,08/02/19 07:00:00  PM,11.819,,,,
177,08/02/19 08:00:00  PM,10.455,,,,
178,08/02/19 09:00:00  PM,10.063,,,,
179,08/02/19 10:00:00  PM,9.866,,,,
