"Plot Title: garibaldi_hobo_9_2019"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10201244, SEN S/N: 10201244)","Coupler Attached (LGR S/N: 10201244)","Host Connected (LGR S/N: 10201244)","Stopped (LGR S/N: 10201244)","End Of File (LGR S/N: 10201244)"
1,08/09/19 12:00:00  PM,17.094,,,,
2,08/09/19 01:00:00  PM,18.140,,,,
3,08/09/19 02:00:00  PM,18.426,,,,
4,08/09/19 03:00:00  PM,20.234,,,,
5,08/09/19 04:00:00  PM,19.092,,,,
6,08/09/19 05:00:00  PM,17.665,,,,
7,08/09/19 06:00:00  PM,15.569,,,,
8,08/09/19 07:00:00  PM,15.091,,,,
9,08/09/19 08:00:00  PM,11.334,,,,
10,08/09/19 09:00:00  PM,9.866,,,,
11,08/09/19 10:00:00  PM,9.965,,,,
12,08/09/19 11:00:00  PM,9.866,,,,
13,08/10/19 12:00:00  AM,10.455,,,,
14,08/10/19 01:00:00  AM,10.063,,,,
15,08/10/19 02:00:00  AM,10.161,,,,
16,08/10/19 03:00:00  AM,10.259,,,,
17,08/10/19 04:00:00  AM,9.669,,,,
18,08/10/19 05:00:00  AM,9.275,,,,
19,08/10/19 06:00:00  AM,9.176,,,,
20,08/10/19 07:00:00  AM,9.472,,,,
21,08/10/19 08:00:00  AM,10.259,,,,
22,08/10/19 09:00:00  AM,10.651,,,,
23,08/10/19 10:00:00  AM,11.041,,,,
24,08/10/19 11:00:00  AM,12.207,,,,
25,08/10/19 12:00:00  PM,12.207,,,,
26,08/10/19 01:00:00  PM,21.855,,,,
27,08/10/19 02:00:00  PM,21.378,,,,
28,08/10/19 03:00:00  PM,19.948,,,,
29,08/10/19 04:00:00  PM,16.903,,,,
30,08/10/19 05:00:00  PM,17.665,,,,
31,08/10/19 06:00:00  PM,15.378,,,,
32,08/10/19 07:00:00  PM,13.076,,,,
33,08/10/19 08:00:00  PM,11.916,,,,
34,08/10/19 09:00:00  PM,10.748,,,,
35,08/10/19 10:00:00  PM,9.965,,,,
36,08/10/19 11:00:00  PM,9.472,,,,
37,08/11/19 12:00:00  AM,9.176,,,,
38,08/11/19 01:00:00  AM,9.866,,,,
39,08/11/19 02:00:00  AM,9.472,,,,
40,08/11/19 03:00:00  AM,8.879,,,,
41,08/11/19 04:00:00  AM,9.472,,,,
42,08/11/19 05:00:00  AM,8.779,,,,
43,08/11/19 06:00:00  AM,8.779,,,,
44,08/11/19 07:00:00  AM,9.077,,,,
45,08/11/19 08:00:00  AM,9.373,,,,
46,08/11/19 09:00:00  AM,9.176,,,,
47,08/11/19 10:00:00  AM,8.879,,,,
48,08/11/19 11:00:00  AM,10.748,,,,
49,08/11/19 12:00:00  PM,14.421,,,,
50,08/11/19 01:00:00  PM,13.076,,,,
51,08/11/19 02:00:00  PM,15.378,,,,
52,08/11/19 03:00:00  PM,13.558,,,,
53,08/11/19 04:00:00  PM,12.787,,,,
54,08/11/19 05:00:00  PM,13.461,,,,
55,08/11/19 06:00:00  PM,12.497,,,,
56,08/11/19 07:00:00  PM,10.063,,,,
57,08/11/19 08:00:00  PM,9.275,,,,
58,08/11/19 09:00:00  PM,8.978,,,,
59,08/11/19 10:00:00  PM,8.879,,,,
60,08/11/19 11:00:00  PM,8.779,,,,
61,08/12/19 12:00:00  AM,8.779,,,,
62,08/12/19 01:00:00  AM,8.680,,,,
63,08/12/19 02:00:00  AM,8.481,,,,
64,08/12/19 03:00:00  AM,8.680,,,,
65,08/12/19 04:00:00  AM,8.779,,,,
66,08/12/19 05:00:00  AM,8.680,,,,
67,08/12/19 06:00:00  AM,8.581,,,,
68,08/12/19 07:00:00  AM,9.077,,,,
69,08/12/19 08:00:00  AM,12.304,,,,
70,08/12/19 09:00:00  AM,13.173,,,,
71,08/12/19 10:00:00  AM,28.655,,,,
72,08/12/19 11:00:00  AM,14.325,,,,
73,08/12/19 12:00:00  PM,16.427,,,,
74,08/12/19 01:00:00  PM,15.473,,,,
75,08/12/19 02:00:00  PM,17.475,,,,
76,08/12/19 03:00:00  PM,16.523,,,,
77,08/12/19 04:00:00  PM,16.808,,,,
78,08/12/19 05:00:00  PM,14.134,,,,
79,08/12/19 06:00:00  PM,12.883,,,,
80,08/12/19 07:00:00  PM,10.748,,,,
81,08/12/19 08:00:00  PM,9.571,,,,
82,08/12/19 09:00:00  PM,7.682,,,,
83,08/12/19 10:00:00  PM,8.082,,,,
84,08/12/19 11:00:00  PM,7.582,,,,
85,08/13/19 12:00:00  AM,7.582,,,,
86,08/13/19 01:00:00  AM,7.179,,,,
87,08/13/19 02:00:00  AM,7.179,,,,
88,08/13/19 03:00:00  AM,6.877,,,,
89,08/13/19 04:00:00  AM,7.381,,,,
90,08/13/19 05:00:00  AM,6.471,,,,
91,08/13/19 06:00:00  AM,6.064,,,,
92,08/13/19 07:00:00  AM,9.275,,,,
93,08/13/19 08:00:00  AM,14.325,,,,
94,08/13/19 09:00:00  AM,25.028,,,,
95,08/13/19 10:00:00  AM,35.864,,,,
96,08/13/19 11:00:00  AM,30.659,,,,
97,08/13/19 12:00:00  PM,28.754,,,,
98,08/13/19 01:00:00  PM,26.000,,,,
99,08/13/19 02:00:00  PM,23.966,,,,
100,08/13/19 03:00:00  PM,21.760,,,,
101,08/13/19 04:00:00  PM,19.282,,,,
102,08/13/19 05:00:00  PM,16.523,,,,
103,08/13/19 06:00:00  PM,16.141,,,,
104,08/13/19 07:00:00  PM,13.654,,,,
105,08/13/19 08:00:00  PM,12.787,,,,
106,08/13/19 09:00:00  PM,11.139,,,,
107,08/13/19 10:00:00  PM,10.259,,,,
108,08/13/19 11:00:00  PM,10.748,,,,
109,08/14/19 12:00:00  AM,9.275,,,,
110,08/14/19 01:00:00  AM,9.373,,,,
111,08/14/19 02:00:00  AM,8.581,,,,
112,08/14/19 03:00:00  AM,9.768,,,,
113,08/14/19 04:00:00  AM,9.768,,,,
114,08/14/19 05:00:00  AM,9.275,,,,
115,08/14/19 06:00:00  AM,7.782,,,,
116,08/14/19 07:00:00  AM,9.373,,,,
117,08/14/19 08:00:00  AM,27.567,,,,
118,08/14/19 09:00:00  AM,33.118,,,,
119,08/14/19 10:00:00  AM,33.953,,,,
120,08/14/19 11:00:00  AM,33.118,,,,
121,08/14/19 12:00:00  PM,18.140,,,,
122,08/14/19 01:00:00  PM,25.125,,,,
123,08/14/19 02:00:00  PM,23.869,,,,
124,08/14/19 03:00:00  PM,21.091,,,,
125,08/14/19 04:00:00  PM,18.045,,,,
126,08/14/19 05:00:00  PM,16.332,,,,
127,08/14/19 06:00:00  PM,14.996,,,,
128,08/14/19 07:00:00  PM,13.558,,,,
129,08/14/19 08:00:00  PM,11.819,,,,
130,08/14/19 09:00:00  PM,10.846,,,,
131,08/14/19 10:00:00  PM,10.748,,,,
132,08/14/19 11:00:00  PM,8.481,,,,
133,08/15/19 12:00:00  AM,9.373,,,,
134,08/15/19 01:00:00  AM,8.481,,,,
135,08/15/19 02:00:00  AM,8.082,,,,
136,08/15/19 03:00:00  AM,7.481,,,,
137,08/15/19 04:00:00  AM,7.280,,,,
138,08/15/19 05:00:00  AM,7.381,,,,
139,08/15/19 06:00:00  AM,6.775,,,,
140,08/15/19 07:00:00  AM,8.879,,,,
141,08/15/19 08:00:00  AM,28.159,,,,
142,08/15/19 09:00:00  AM,32.086,,,,
143,08/15/19 10:00:00  AM,28.953,,,,
144,08/15/19 11:00:00  AM,20.901,,,,
145,08/15/19 12:00:00  PM,30.963,,,,
146,08/15/19 01:00:00  PM,27.862,,,,
147,08/15/19 02:00:00  PM,21.282,,,,
148,08/15/19 03:00:00  PM,18.901,,,,
149,08/15/19 04:00:00  PM,17.379,,,,
150,08/15/19 05:00:00  PM,15.378,,,,
151,08/15/19 06:00:00  PM,13.750,,,,
152,08/15/19 07:00:00  PM,11.916,,,,
153,08/15/19 08:00:00  PM,11.334,,,,
154,08/15/19 09:00:00  PM,9.077,,,,
155,08/15/19 10:00:00  PM,8.978,,,,
156,08/15/19 11:00:00  PM,8.481,,,,
157,08/16/19 12:00:00  AM,7.179,,,,
158,08/16/19 01:00:00  AM,7.179,,,,
159,08/16/19 02:00:00  AM,6.978,,,,
160,08/16/19 03:00:00  AM,7.079,,,,
161,08/16/19 04:00:00  AM,7.280,,,,
162,08/16/19 05:00:00  AM,6.978,,,,
163,08/16/19 06:00:00  AM,7.179,,,,
164,08/16/19 07:00:00  AM,8.382,,,,
165,08/16/19 08:00:00  AM,11.041,,,,
166,08/16/19 09:00:00  AM,18.236,,,,
167,08/16/19 10:00:00  AM,18.045,,,,
168,08/16/19 11:00:00  AM,14.421,,,,
169,08/16/19 12:00:00  PM,13.654,,,,
170,08/16/19 01:00:00  PM,12.883,,,,
171,08/16/19 02:00:00  PM,13.654,,,,
172,08/16/19 03:00:00  PM,13.269,,,,
173,08/16/19 04:00:00  PM,13.269,,,,
174,08/16/19 05:00:00  PM,13.076,,,,
175,08/16/19 06:00:00  PM,12.401,,,,
176,08/16/19 07:00:00  PM,11.334,,,,
177,08/16/19 08:00:00  PM,9.866,,,,
178,08/16/19 09:00:00  PM,9.571,,,,
179,08/16/19 10:00:00  PM,9.571,,,,
180,08/16/19 11:00:00  PM,9.472,,,,
181,08/17/19 12:00:00  AM,9.373,,,,
182,08/17/19 01:00:00  AM,9.275,,,,
183,08/17/19 02:00:00  AM,9.275,,,,
184,08/17/19 03:00:00  AM,8.779,,,,
185,08/17/19 04:00:00  AM,8.779,,,,
186,08/17/19 05:00:00  AM,8.879,,,,
187,08/17/19 06:00:00  AM,6.674,,,,
188,08/17/19 07:00:00  AM,8.779,,,,
189,08/17/19 08:00:00  AM,10.063,,,,
190,08/17/19 09:00:00  AM,11.334,,,,
191,08/17/19 10:00:00  AM,13.173,,,,
192,08/17/19 11:00:00  AM,14.613,,,,
193,08/17/19 12:00:00  PM,13.365,,,,
194,08/17/19 01:00:00  PM,14.613,,,,
195,08/17/19 02:00:00  PM,15.760,,,,
196,08/17/19 03:00:00  PM,15.473,,,,
197,08/17/19 04:00:00  PM,16.713,,,,
198,08/17/19 05:00:00  PM,13.750,,,,
199,08/17/19 06:00:00  PM,12.690,,,,
200,08/17/19 07:00:00  PM,10.846,,,,
201,08/17/19 08:00:00  PM,10.357,,,,
202,08/17/19 09:00:00  PM,9.768,,,,
203,08/17/19 10:00:00  PM,7.381,,,,
204,08/17/19 11:00:00  PM,8.879,,,,
205,08/18/19 12:00:00  AM,8.382,,,,
206,08/18/19 01:00:00  AM,7.983,,,,
207,08/18/19 02:00:00  AM,6.674,,,,
208,08/18/19 03:00:00  AM,7.682,,,,
209,08/18/19 04:00:00  AM,7.782,,,,
210,08/18/19 05:00:00  AM,7.782,,,,
211,08/18/19 06:00:00  AM,6.471,,,,
212,08/18/19 07:00:00  AM,6.674,,,,
213,08/18/19 08:00:00  AM,29.053,,,,
214,08/18/19 09:00:00  AM,33.953,,,,
215,08/18/19 10:00:00  AM,18.045,,,,
216,08/18/19 11:00:00  AM,25.902,,,,
217,08/18/19 12:00:00  PM,25.513,,,,
218,08/18/19 01:00:00  PM,26.585,,,,
219,08/18/19 02:00:00  PM,25.805,,,,
220,08/18/19 03:00:00  PM,20.615,,,,
221,08/18/19 04:00:00  PM,18.521,,,,
222,08/18/19 05:00:00  PM,16.618,,,,
223,08/18/19 06:00:00  PM,15.664,,,,
224,08/18/19 07:00:00  PM,12.690,,,,
225,08/18/19 08:00:00  PM,10.553,,,,
226,08/18/19 09:00:00  PM,8.082,,,,
