Site ,Stem_Count,Flowering ,Elevation,Distance_from_Glacial_Terminus_(m),Zone ,Notes,,
GB18,2,N,1352,1860,1928,,,
GB18,1,N,1352,1860,1928,,,
GB18,4,N,1352,1860,1928,,,
GB18,16,N,1352,1860,1928,,,
GB18,18,N,1352,1860,1928,,,
GB18,27,N,1352,1860,1928,,,
GB18,4,N,1352,1860,1928,,,
GB18,45,N,1352,1860,1928,,,
GB18,13,Y,1352,1860,1928,,,
GB25,7,Y,1367,3860,core,,,
GB25,1,Y,1367,3860,core,,,
GB25,7,Y,1367,3860,core,,,
GB25,12,Y,1367,3860,core,,,
GB25,12,Y,1367,3860,core,,,
GB25,1,Y,1367,3860,core,,,
GB25,2,Y,1367,3860,core,,,
GB25,2,Y,1367,3860,core,,,
GB25,0,Y,1367,3860,core,,,
GB25,2,Y,1367,3860,core,,,
GB25,0,Y,1367,3860,core,,,
GB25,1,Y,1367,3860,core,,,
GB25,1,Y,1367,3860,core,,,
GB25,2,Y,1367,3860,core,,,
GB25,1,Y,1367,3860,core,,,
GB25,5,Y,1367,3860,core,,,
GB25,1,Y,1367,3860,core,,,
GB25,1,Y,1367,3860,core,,,
GB25,3,Y,1367,3860,core,,,
GB25,408,Y,1367,3860,core,,,
GB25,21,Y,1367,3860,core,,,
GB25,33,Y,1367,3860,core,,,
GB25,81,Y,1367,3860,core,,,
GB25,12,Y,1367,3860,core,,,
GB25,1,Y,1367,3860,core,,,
GB25,2,Y,1367,3860,core,,,
GB25,2,Y,1367,3860,core,,,
GB25,138,Y,1367,3860,core,,,
GB25,20,Y,1367,3860,core,,,
GB25,0,Y,1367,3860,core,,,
GB25,1,N,1367,3860,core,,,
GB25,1,N,1367,3860,core,,,
GB25,6,N,1367,3860,core,,,
GB25,2,N,1367,3860,core,,,
GB25,1,N,1367,3860,core,,,
GB25,1,N,1367,3860,core,,,
GB25,3,N,1367,3860,core,,,
GB25,5,N,1367,3860,core,,,
GB25,1,N,1367,3860,core,,,
GB25,0,N,1367,3860,core,,,
GB25,0,N,1367,3860,core,,,
GB25,1,N,1367,3860,core,,,
GB25,11,N,1367,3860,core,,,
GB25,3,N,1367,3860,core,,,
GB25,1,N,1367,3860,core,,,
GB25,3,N,1367,3860,core,,,
GB25,1,N,1367,3860,core,,,
GB25,6,N,1367,3860,core,,,
GB25,11,N,1367,3860,core,,,
GB25,8,N,1367,3860,core,,,
GB25,4,N,1367,3860,core,,,
GB25,1,N,1367,3860,core,,,
GB25,1,N,1367,3860,core,,,
GB25,3,N,1367,3860,core,,,
GB25,51,N,1367,3860,core,,,
GB25,1,N,1367,3860,core,,,
GB25,4,N,1367,3860,core,,,
GB25,2,N,1367,3860,core,,,
GB25,1,N,1367,3860,core,,,
GB25,5,N,1367,3860,core,,,
GB25,7,N,1367,3860,core,,,
GB25,9,N,1367,3860,core,,,
GB25,25,N,1367,3860,core,,,
GB25,6,N,1367,3860,core,,,
GB25,48,N,1367,3860,core,,,
GB25,10,N,1367,3860,core,,,
GB25,4,N,1367,3860,core,,,
GB25,36,N,1367,3860,core,,,
GB25,4,N,1367,3860,core,,,
GB25,33,N,1367,3860,core,,,
GB25,12,N,1367,3860,core,,,
GB25,13,N,1367,3860,core,,,
GB26,17,Y,1366,3630,core,,,
GB26,104,Y,1366,3630,core,,,
GB26,6,Y,1366,3630,core,,,
GB26,92,Y,1366,3630,core,,,
GB26,276,Y,1366,3630,core,,,
GB26,1,Y,1366,3630,core,,,
GB26,1,Y,1366,3630,core,,,
GB26,4,Y,1366,3630,core,,,
GB26,1,Y,1366,3630,core,,,
GB26,4,Y,1366,3630,core,,,
GB26,1,Y,1366,3630,core,,,
GB26,2,Y,1366,3630,core,,,
GB26,1,Y,1366,3630,core,,,
GB26,3,Y,1366,3630,core,,,
GB26,25,Y,1366,3630,core,,,
GB26,10,Y,1366,3630,core,,,
GB26,4,Y,1366,3630,core,,,
GB26,3,Y,1366,3630,core,,,
GB26,1,Y,1366,3630,core,,,
GB26,1,Y,1366,3630,core,,,
GB26,17,Y,1366,3630,core,,,
GB26,1,Y,1366,3630,core,,,
GB26,6,Y,1366,3630,core,,,
GB26,0,Y,1366,3630,core,,,
GB26,9,Y,1366,3630,core,,,
GB26,11,N,1366,3630,core,,,
GB26,3,N,1366,3630,core,,,
GB26,5,N,1366,3630,core,,,
GB26,14,N,1366,3630,core,,,
GB26,1,N,1366,3630,core,,,
GB26,9,N,1366,3630,core,,,
GB26,11,N,1366,3630,core,,,
GB26,7,N,1366,3630,core,,,
GB26,3,N,1366,3630,core,,,
GB26,2,N,1366,3630,core,,,
GB26,1,N,1366,3630,core,,,
GB26,1,N,1366,3630,core,,,
GB26,1,N,1366,3630,core,,,
GB26,1,N,1366,3630,core,,,
GB26,9,N,1366,3630,core,,,
GB26,1,N,1366,3630,core,,,
GB26,1,N,1366,3630,core,,,
GB26,1,N,1366,3630,core,,,
GB26,10,N,1366,3630,core,,,
GB26,58,N,1366,3630,core,,,
GB26,3,N,1366,3630,core,,,
GB26,5,N,1366,3630,core,,,
GB26,7,N,1366,3630,core,,,
GB26,2,N,1366,3630,core,,,
GB26,1,N,1366,3630,core,,,
GB26,5,N,1366,3630,core,,,
GB26,1,N,1366,3630,core,,,
GB26,1,N,1366,3630,core,,,
GB26,9,N,1366,3630,core,,,
GB26,7,N,1366,3630,core,,,
GB26,4,N,1366,3630,core,,,
GB26,1,N,1366,3630,core,,,
GB26,2,N,1366,3630,core,,,
GB26,1,N,1366,3630,core,,,
GB26,1,N,1366,3630,core,,,
GB26,3,N,1366,3630,core,,,
GB26,19,N,1366,3630,core,,,
GB26,9,N,1366,3630,core,,,
GB26,2,N,1366,3630,core,,,
GB26,1,N,1366,3630,core,,,
GB26,5,N,1366,3630,core,,,
GB26,1,N,1366,3630,core,,,
GB26,1,N,1366,3630,core,,,
GB26,4,N,1366,3630,core,,,
GB26,4,N,1366,3630,core,,,
GB26,3,N,1366,3630,core,,,
GB26,1,N,1366,3630,core,,,
