"Plot Title: garibaldi_hobo_17_2019"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10406814, SEN S/N: 10406814)","Bad Battery (LGR S/N: 10406814)","Coupler Attached (LGR S/N: 10406814)","Host Connected (LGR S/N: 10406814)","Stopped (LGR S/N: 10406814)","End Of File (LGR S/N: 10406814)"
1,08/30/19 12:00:00  PM,15.664,,,,,
2,08/30/19 01:00:00  PM,15.378,,,,,
3,08/30/19 02:00:00  PM,16.903,,,,,
4,08/30/19 03:00:00  PM,13.558,,,,,
5,08/30/19 04:00:00  PM,17.570,,,,,
6,08/30/19 05:00:00  PM,16.618,,,,,
7,08/30/19 06:00:00  PM,14.325,,,,,
8,08/30/19 07:00:00  PM,12.980,,,,,
9,08/30/19 08:00:00  PM,11.916,,,,,
10,08/30/19 09:00:00  PM,11.236,,,,,
11,08/30/19 10:00:00  PM,10.748,,,,,
12,08/30/19 11:00:00  PM,10.944,,,,,
13,08/31/19 12:00:00  AM,10.161,,,,,
14,08/31/19 01:00:00  AM,9.768,,,,,
15,08/31/19 02:00:00  AM,9.472,,,,,
16,08/31/19 03:00:00  AM,8.581,,,,,
17,08/31/19 04:00:00  AM,7.682,,,,,
18,08/31/19 05:00:00  AM,8.481,,,,,
19,08/31/19 06:00:00  AM,8.282,,,,,
20,08/31/19 07:00:00  AM,8.182,,,,,
21,08/31/19 08:00:00  AM,10.944,,,,,
22,08/31/19 09:00:00  AM,17.950,,,,,
23,08/31/19 10:00:00  AM,15.473,,,,,
24,08/31/19 11:00:00  AM,17.950,,,,,
25,08/31/19 12:00:00  PM,23.388,,,,,
26,08/31/19 01:00:00  PM,22.717,,,,,
27,08/31/19 02:00:00  PM,19.092,,,,,
28,08/31/19 03:00:00  PM,17.189,,,,,
29,08/31/19 04:00:00  PM,16.237,,,,,
30,08/31/19 05:00:00  PM,16.332,,,,,
31,08/31/19 06:00:00  PM,12.304,,,,,
32,08/31/19 07:00:00  PM,11.916,,,,,
33,08/31/19 08:00:00  PM,10.748,,,,,
34,08/31/19 09:00:00  PM,10.259,,,,,
35,08/31/19 10:00:00  PM,10.063,,,,,
36,08/31/19 11:00:00  PM,9.965,,,,,
37,09/01/19 12:00:00  AM,9.176,,,,,
38,09/01/19 01:00:00  AM,9.077,,,,,
39,09/01/19 02:00:00  AM,7.983,,,,,
40,09/01/19 03:00:00  AM,8.879,,,,,
41,09/01/19 04:00:00  AM,8.879,,,,,
42,09/01/19 05:00:00  AM,8.581,,,,,
43,09/01/19 06:00:00  AM,7.582,,,,,
44,09/01/19 07:00:00  AM,7.983,,,,,
45,09/01/19 08:00:00  AM,12.013,,,,,
46,09/01/19 09:00:00  AM,12.594,,,,,
47,09/01/19 10:00:00  AM,13.654,,,,,
48,09/01/19 11:00:00  AM,12.304,,,,,
49,09/01/19 12:00:00  PM,15.760,,,,,
50,09/01/19 01:00:00  PM,17.189,,,,,
51,09/01/19 02:00:00  PM,15.473,,,,,
52,09/01/19 03:00:00  PM,13.365,,,,,
53,09/01/19 04:00:00  PM,16.523,,,,,
54,09/01/19 05:00:00  PM,12.594,,,,,
55,09/01/19 06:00:00  PM,12.110,,,,,
56,09/01/19 07:00:00  PM,11.041,,,,,
57,09/01/19 08:00:00  PM,9.768,,,,,
58,09/01/19 09:00:00  PM,8.978,,,,,
59,09/01/19 10:00:00  PM,7.381,,,,,
60,09/01/19 11:00:00  PM,6.268,,,,,
61,09/02/19 12:00:00  AM,5.347,,,,,
62,09/02/19 01:00:00  AM,4.831,,,,,
63,09/02/19 02:00:00  AM,4.727,,,,,
64,09/02/19 03:00:00  AM,4.311,,,,,
65,09/02/19 04:00:00  AM,3.893,,,,,
66,09/02/19 05:00:00  AM,3.788,,,,,
67,09/02/19 06:00:00  AM,3.683,,,,,
68,09/02/19 07:00:00  AM,3.893,,,,,
69,09/02/19 08:00:00  AM,12.207,,,,,
70,09/02/19 09:00:00  AM,19.662,,,,,
71,09/02/19 10:00:00  AM,24.158,,,,,
72,09/02/19 11:00:00  AM,26.879,,,,,
73,09/02/19 12:00:00  PM,17.475,,,,,
74,09/02/19 01:00:00  PM,20.710,,,,,
75,09/02/19 02:00:00  PM,22.238,,,,,
76,09/02/19 03:00:00  PM,17.760,,,,,
77,09/02/19 04:00:00  PM,19.187,,,,,
78,09/02/19 05:00:00  PM,25.319,,,,,
79,09/02/19 06:00:00  PM,18.140,,,,,
80,09/02/19 07:00:00  PM,13.750,,,,,
81,09/02/19 08:00:00  PM,11.625,,,,,
