"Plot Title: garibaldi_hobo_14_2019"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10406797, SEN S/N: 10406797)","Host Connected (LGR S/N: 10406797)","Coupler Attached (LGR S/N: 10406797)","Stopped (LGR S/N: 10406797)","End Of File (LGR S/N: 10406797)"
123,09/04/19 02:00:00  PM,18.236,,,,
124,09/04/19 03:00:00  PM,24.062,,,,
125,09/04/19 04:00:00  PM,22.525,,,,
126,09/04/19 05:00:00  PM,16.237,,,,
127,09/04/19 06:00:00  PM,11.916,,,,
128,09/04/19 07:00:00  PM,10.455,,,,
129,09/04/19 08:00:00  PM,8.382,,,,
130,09/04/19 09:00:00  PM,5.757,,,,
131,09/04/19 10:00:00  PM,5.037,,,,
132,09/04/19 11:00:00  PM,4.207,,,,
133,09/05/19 12:00:00  AM,5.037,,,,
134,09/05/19 01:00:00  AM,4.623,,,,
135,09/05/19 02:00:00  AM,4.415,,,,
136,09/05/19 03:00:00  AM,4.415,,,,
137,09/05/19 04:00:00  AM,3.683,,,,
138,09/05/19 05:00:00  AM,3.155,,,,
139,09/05/19 06:00:00  AM,2.837,,,,
140,09/05/19 07:00:00  AM,2.624,,,,
141,09/05/19 08:00:00  AM,3.578,,,,
142,09/05/19 09:00:00  AM,15.951,,,,
143,09/05/19 10:00:00  AM,21.378,,,,
144,09/05/19 11:00:00  AM,23.966,,,,
145,09/05/19 12:00:00  PM,28.754,,,,
146,09/05/19 01:00:00  PM,26.488,,,,
147,09/05/19 02:00:00  PM,23.773,,,,
148,09/05/19 03:00:00  PM,21.664,,,,
149,09/05/19 04:00:00  PM,23.388,,,,
150,09/05/19 05:00:00  PM,18.140,,,,
151,09/05/19 06:00:00  PM,16.713,,,,
152,09/05/19 07:00:00  PM,11.334,,,,
153,09/05/19 08:00:00  PM,8.779,,,,
154,09/05/19 09:00:00  PM,8.182,,,,
155,09/05/19 10:00:00  PM,5.860,,,,
156,09/05/19 11:00:00  PM,6.471,,,,
157,09/06/19 12:00:00  AM,6.877,,,,
158,09/06/19 01:00:00  AM,6.471,,,,
159,09/06/19 02:00:00  AM,5.757,,,,
160,09/06/19 03:00:00  AM,5.347,,,,
161,09/06/19 04:00:00  AM,5.244,,,,
162,09/06/19 05:00:00  AM,4.831,,,,
163,09/06/19 06:00:00  AM,3.893,,,,
164,09/06/19 07:00:00  AM,4.519,,,,
165,09/06/19 08:00:00  AM,4.727,,,,
166,09/06/19 09:00:00  AM,19.567,,,,
167,09/06/19 10:00:00  AM,23.100,,,,
168,09/06/19 11:00:00  AM,25.028,,,,
169,09/06/19 12:00:00  PM,28.555,,,,
170,09/06/19 01:00:00  PM,26.390,,,,
171,09/06/19 02:00:00  PM,24.738,,,,
172,09/06/19 03:00:00  PM,25.222,,,,
173,09/06/19 04:00:00  PM,26.000,,,,
174,09/06/19 05:00:00  PM,16.999,,,,
175,09/06/19 06:00:00  PM,13.558,,,,
176,09/06/19 07:00:00  PM,12.497,,,,
177,09/06/19 08:00:00  PM,8.879,,,,
178,09/06/19 09:00:00  PM,8.282,,,,
179,09/06/19 10:00:00  PM,6.370,,,,
180,09/06/19 11:00:00  PM,5.244,,,,
181,09/07/19 12:00:00  AM,4.311,,,,
182,09/07/19 01:00:00  AM,3.998,,,,
183,09/07/19 02:00:00  AM,3.788,,,,
184,09/07/19 03:00:00  AM,4.831,,,,
185,09/07/19 04:00:00  AM,3.998,,,,
186,09/07/19 05:00:00  AM,3.998,,,,
187,09/07/19 06:00:00  AM,4.934,,,,
188,09/07/19 07:00:00  AM,5.141,,,,
189,09/07/19 08:00:00  AM,6.573,,,,
190,09/07/19 09:00:00  AM,10.651,,,,
191,09/07/19 10:00:00  AM,17.760,,,,
192,09/07/19 11:00:00  AM,21.091,,,,
193,09/07/19 12:00:00  PM,20.710,,,,
194,09/07/19 01:00:00  PM,21.664,,,,
195,09/07/19 02:00:00  PM,16.141,,,,
196,09/07/19 03:00:00  PM,16.141,,,,
197,09/07/19 04:00:00  PM,17.094,,,,
198,09/07/19 05:00:00  PM,15.473,,,,
199,09/07/19 06:00:00  PM,14.325,,,,
200,09/07/19 07:00:00  PM,14.517,,,,
201,09/07/19 08:00:00  PM,9.669,,,,
202,09/07/19 09:00:00  PM,7.280,,,,
203,09/07/19 10:00:00  PM,6.978,,,,
204,09/07/19 11:00:00  PM,7.079,,,,
205,09/08/19 12:00:00  AM,8.082,,,,
206,09/08/19 01:00:00  AM,9.275,,,,
207,09/08/19 02:00:00  AM,9.275,,,,
208,09/08/19 03:00:00  AM,9.077,,,,
209,09/08/19 04:00:00  AM,7.882,,,,
210,09/08/19 05:00:00  AM,7.481,,,,
211,09/08/19 06:00:00  AM,7.882,,,,
212,09/08/19 07:00:00  AM,8.182,,,,
213,09/08/19 08:00:00  AM,9.571,,,,
214,09/08/19 09:00:00  AM,11.139,,,,
215,09/08/19 10:00:00  AM,10.748,,,,
216,09/08/19 11:00:00  AM,12.304,,,,
