"Plot Title: garibaldi_hobo_6_2019"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10019732, SEN S/N: 10019732, LBL: Temp)","Coupler Attached (LGR S/N: 10019732)","Host Connected (LGR S/N: 10019732)","Stopped (LGR S/N: 10019732)","End Of File (LGR S/N: 10019732)"
122,07/31/19 01:00:00  PM,19.853,,,,
123,07/31/19 02:00:00  PM,19.092,,,,
124,07/31/19 03:00:00  PM,18.331,,,,
125,07/31/19 04:00:00  PM,17.855,,,,
126,07/31/19 05:00:00  PM,24.351,,,,
127,07/31/19 06:00:00  PM,17.094,,,,
128,07/31/19 07:00:00  PM,14.900,,,,
129,07/31/19 08:00:00  PM,12.304,,,,
130,07/31/19 09:00:00  PM,9.669,,,,
131,07/31/19 10:00:00  PM,8.680,,,,
132,07/31/19 11:00:00  PM,8.082,,,,
133,08/01/19 12:00:00  AM,7.882,,,,
134,08/01/19 01:00:00  AM,7.079,,,,
135,08/01/19 02:00:00  AM,7.079,,,,
136,08/01/19 03:00:00  AM,6.877,,,,
137,08/01/19 04:00:00  AM,7.179,,,,
138,08/01/19 05:00:00  AM,7.079,,,,
139,08/01/19 06:00:00  AM,7.481,,,,
140,08/01/19 07:00:00  AM,7.582,,,,
141,08/01/19 08:00:00  AM,10.063,,,,
142,08/01/19 09:00:00  AM,12.594,,,,
143,08/01/19 10:00:00  AM,11.139,,,,
144,08/01/19 11:00:00  AM,12.207,,,,
145,08/01/19 12:00:00  PM,12.594,,,,
146,08/01/19 01:00:00  PM,12.594,,,,
147,08/01/19 02:00:00  PM,15.091,,,,
148,08/01/19 03:00:00  PM,15.187,,,,
149,08/01/19 04:00:00  PM,13.846,,,,
150,08/01/19 05:00:00  PM,13.365,,,,
151,08/01/19 06:00:00  PM,12.304,,,,
152,08/01/19 07:00:00  PM,12.304,,,,
153,08/01/19 08:00:00  PM,11.236,,,,
154,08/01/19 09:00:00  PM,11.722,,,,
155,08/01/19 10:00:00  PM,11.916,,,,
156,08/01/19 11:00:00  PM,12.013,,,,
157,08/02/19 12:00:00  AM,10.944,,,,
158,08/02/19 01:00:00  AM,10.846,,,,
159,08/02/19 02:00:00  AM,10.259,,,,
160,08/02/19 03:00:00  AM,10.259,,,,
161,08/02/19 04:00:00  AM,9.965,,,,
162,08/02/19 05:00:00  AM,10.161,,,,
163,08/02/19 06:00:00  AM,9.669,,,,
164,08/02/19 07:00:00  AM,9.866,,,,
165,08/02/19 08:00:00  AM,9.669,,,,
166,08/02/19 09:00:00  AM,9.571,,,,
167,08/02/19 10:00:00  AM,9.373,,,,
168,08/02/19 11:00:00  AM,9.866,,,,
169,08/02/19 12:00:00  PM,11.625,,,,
170,08/02/19 01:00:00  PM,16.808,,,,
171,08/02/19 02:00:00  PM,19.567,,,,
172,08/02/19 03:00:00  PM,20.138,,,,
173,08/02/19 04:00:00  PM,23.292,,,,
174,08/02/19 05:00:00  PM,18.236,,,,
175,08/02/19 06:00:00  PM,15.473,,,,
176,08/02/19 07:00:00  PM,12.787,,,,
177,08/02/19 08:00:00  PM,11.139,,,,
178,08/02/19 09:00:00  PM,9.669,,,,
179,08/02/19 10:00:00  PM,9.768,,,,
180,08/02/19 11:00:00  PM,8.082,,,,
181,08/03/19 12:00:00  AM,6.978,,,,
182,08/03/19 01:00:00  AM,6.370,,,,
183,08/03/19 02:00:00  AM,5.757,,,,
184,08/03/19 03:00:00  AM,5.347,,,,
185,08/03/19 04:00:00  AM,4.934,,,,
186,08/03/19 05:00:00  AM,4.727,,,,
187,08/03/19 06:00:00  AM,4.519,,,,
188,08/03/19 07:00:00  AM,5.244,,,,
189,08/03/19 08:00:00  AM,6.064,,,,
190,08/03/19 09:00:00  AM,7.582,,,,
191,08/03/19 10:00:00  AM,14.134,,,,
192,08/03/19 11:00:00  AM,21.855,,,,
193,08/03/19 12:00:00  PM,24.255,,,,
194,08/03/19 01:00:00  PM,24.255,,,,
195,08/03/19 02:00:00  PM,27.370,,,,
196,08/03/19 03:00:00  PM,26.488,,,,
197,08/03/19 04:00:00  PM,23.196,,,,
198,08/03/19 05:00:00  PM,25.513,,,,
199,08/03/19 06:00:00  PM,16.903,,,,
200,08/03/19 07:00:00  PM,13.750,,,,
201,08/03/19 08:00:00  PM,11.819,,,,
202,08/03/19 09:00:00  PM,10.259,,,,
203,08/03/19 10:00:00  PM,9.176,,,,
204,08/03/19 11:00:00  PM,8.680,,,,
205,08/04/19 12:00:00  AM,8.082,,,,
206,08/04/19 01:00:00  AM,7.882,,,,
207,08/04/19 02:00:00  AM,8.182,,,,
208,08/04/19 03:00:00  AM,7.983,,,,
209,08/04/19 04:00:00  AM,7.280,,,,
210,08/04/19 05:00:00  AM,7.381,,,,
211,08/04/19 06:00:00  AM,7.179,,,,
212,08/04/19 07:00:00  AM,7.983,,,,
213,08/04/19 08:00:00  AM,8.481,,,,
214,08/04/19 09:00:00  AM,9.768,,,,
215,08/04/19 10:00:00  AM,17.094,,,,
216,08/04/19 11:00:00  AM,26.390,,,,
217,08/04/19 12:00:00  PM,29.053,,,,
218,08/04/19 01:00:00  PM,31.778,,,,
219,08/04/19 02:00:00  PM,31.268,,,,
220,08/04/19 03:00:00  PM,31.778,,,,
221,08/04/19 04:00:00  PM,31.064,,,,
222,08/04/19 05:00:00  PM,30.963,,,,
223,08/04/19 06:00:00  PM,18.045,,,,
224,08/04/19 07:00:00  PM,15.282,,,,
225,08/04/19 08:00:00  PM,13.173,,,,
226,08/04/19 09:00:00  PM,12.013,,,,
227,08/04/19 10:00:00  PM,11.236,,,,
228,08/04/19 11:00:00  PM,10.651,,,,
229,08/05/19 12:00:00  AM,9.768,,,,
230,08/05/19 01:00:00  AM,10.063,,,,
231,08/05/19 02:00:00  AM,9.373,,,,
232,08/05/19 03:00:00  AM,9.472,,,,
233,08/05/19 04:00:00  AM,8.581,,,,
234,08/05/19 05:00:00  AM,8.382,,,,
235,08/05/19 06:00:00  AM,7.882,,,,
236,08/05/19 07:00:00  AM,8.581,,,,
237,08/05/19 08:00:00  AM,8.779,,,,
238,08/05/19 09:00:00  AM,10.161,,,,
239,08/05/19 10:00:00  AM,16.237,,,,
240,08/05/19 11:00:00  AM,30.558,,,,
241,08/05/19 12:00:00  PM,33.430,,,,
242,08/05/19 01:00:00  PM,34.585,,,,
243,08/05/19 02:00:00  PM,37.165,,,,
244,08/05/19 03:00:00  PM,38.714,,,,
245,08/05/19 04:00:00  PM,37.714,,,,
246,08/05/19 05:00:00  PM,38.268,,,,
247,08/05/19 06:00:00  PM,19.567,,,,
248,08/05/19 07:00:00  PM,16.332,,,,
249,08/05/19 08:00:00  PM,14.134,,,,
250,08/05/19 09:00:00  PM,12.497,,,,
251,08/05/19 10:00:00  PM,11.528,,,,
252,08/05/19 11:00:00  PM,11.041,,,,
253,08/06/19 12:00:00  AM,10.651,,,,
254,08/06/19 01:00:00  AM,10.357,,,,
255,08/06/19 02:00:00  AM,9.965,,,,
256,08/06/19 03:00:00  AM,9.768,,,,
257,08/06/19 04:00:00  AM,9.472,,,,
258,08/06/19 05:00:00  AM,9.373,,,,
259,08/06/19 06:00:00  AM,8.581,,,,
260,08/06/19 07:00:00  AM,8.779,,,,
261,08/06/19 08:00:00  AM,9.373,,,,
262,08/06/19 09:00:00  AM,10.553,,,,
263,08/06/19 10:00:00  AM,15.760,,,,
264,08/06/19 11:00:00  AM,31.268,,,,
265,08/06/19 12:00:00  PM,34.585,,,,
266,08/06/19 01:00:00  PM,36.946,,,,
267,08/06/19 02:00:00  PM,37.935,,,,
268,08/06/19 03:00:00  PM,39.389,,,,
269,08/06/19 04:00:00  PM,38.938,,,,
270,08/06/19 05:00:00  PM,38.490,,,,
271,08/06/19 06:00:00  PM,20.615,,,,
272,08/06/19 07:00:00  PM,16.713,,,,
273,08/06/19 08:00:00  PM,14.804,,,,
274,08/06/19 09:00:00  PM,13.173,,,,
275,08/06/19 10:00:00  PM,12.401,,,,
276,08/06/19 11:00:00  PM,11.334,,,,
277,08/07/19 12:00:00  AM,11.528,,,,
278,08/07/19 01:00:00  AM,11.041,,,,
279,08/07/19 02:00:00  AM,10.748,,,,
280,08/07/19 03:00:00  AM,10.259,,,,
281,08/07/19 04:00:00  AM,10.455,,,,
282,08/07/19 05:00:00  AM,9.768,,,,
