"Plot Title: garibaldi_hobo_1_2019"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10406827, SEN S/N: 10406827, LBL: temp_C)","Coupler Attached (LGR S/N: 10406827)","Host Connected (LGR S/N: 10406827)","Stopped (LGR S/N: 10406827)","End Of File (LGR S/N: 10406827)"
1,08/09/19 12:00:00  PM,17.570,,,,
2,08/09/19 01:00:00  PM,22.238,,,,
3,08/09/19 02:00:00  PM,23.677,,,,
4,08/09/19 03:00:00  PM,23.004,,,,
5,08/09/19 04:00:00  PM,20.901,,,,
6,08/09/19 05:00:00  PM,19.567,,,,
7,08/09/19 06:00:00  PM,17.379,,,,
8,08/09/19 07:00:00  PM,16.618,,,,
9,08/09/19 08:00:00  PM,14.325,,,,
10,08/09/19 09:00:00  PM,13.942,,,,
11,08/09/19 10:00:00  PM,13.269,,,,
12,08/09/19 11:00:00  PM,12.304,,,,
13,08/10/19 12:00:00  AM,12.013,,,,
14,08/10/19 01:00:00  AM,11.431,,,,
15,08/10/19 02:00:00  AM,11.041,,,,
16,08/10/19 03:00:00  AM,10.455,,,,
17,08/10/19 04:00:00  AM,10.259,,,,
18,08/10/19 05:00:00  AM,9.866,,,,
19,08/10/19 06:00:00  AM,9.472,,,,
20,08/10/19 07:00:00  AM,9.571,,,,
21,08/10/19 08:00:00  AM,10.553,,,,
22,08/10/19 09:00:00  AM,10.944,,,,
23,08/10/19 10:00:00  AM,10.651,,,,
24,08/10/19 11:00:00  AM,11.431,,,,
25,08/10/19 12:00:00  PM,11.041,,,,
26,08/10/19 01:00:00  PM,19.282,,,,
27,08/10/19 02:00:00  PM,16.332,,,,
28,08/10/19 03:00:00  PM,17.475,,,,
29,08/10/19 04:00:00  PM,15.855,,,,
30,08/10/19 05:00:00  PM,15.855,,,,
31,08/10/19 06:00:00  PM,13.942,,,,
32,08/10/19 07:00:00  PM,13.076,,,,
33,08/10/19 08:00:00  PM,12.013,,,,
34,08/10/19 09:00:00  PM,10.455,,,,
35,08/10/19 10:00:00  PM,10.063,,,,
36,08/10/19 11:00:00  PM,9.866,,,,
37,08/11/19 12:00:00  AM,9.176,,,,
38,08/11/19 01:00:00  AM,9.077,,,,
39,08/11/19 02:00:00  AM,9.176,,,,
40,08/11/19 03:00:00  AM,9.373,,,,
41,08/11/19 04:00:00  AM,8.680,,,,
42,08/11/19 05:00:00  AM,8.779,,,,
43,08/11/19 06:00:00  AM,8.879,,,,
44,08/11/19 07:00:00  AM,8.680,,,,
45,08/11/19 08:00:00  AM,8.879,,,,
46,08/11/19 09:00:00  AM,8.680,,,,
47,08/11/19 10:00:00  AM,8.581,,,,
48,08/11/19 11:00:00  AM,8.879,,,,
49,08/11/19 12:00:00  PM,9.965,,,,
50,08/11/19 01:00:00  PM,10.553,,,,
51,08/11/19 02:00:00  PM,12.401,,,,
52,08/11/19 03:00:00  PM,10.553,,,,
53,08/11/19 04:00:00  PM,10.651,,,,
54,08/11/19 05:00:00  PM,10.944,,,,
55,08/11/19 06:00:00  PM,10.846,,,,
56,08/11/19 07:00:00  PM,9.866,,,,
57,08/11/19 08:00:00  PM,9.275,,,,
58,08/11/19 09:00:00  PM,8.879,,,,
59,08/11/19 10:00:00  PM,8.779,,,,
60,08/11/19 11:00:00  PM,8.282,,,,
61,08/12/19 12:00:00  AM,8.182,,,,
62,08/12/19 01:00:00  AM,7.782,,,,
63,08/12/19 02:00:00  AM,7.682,,,,
64,08/12/19 03:00:00  AM,7.882,,,,
65,08/12/19 04:00:00  AM,7.280,,,,
66,08/12/19 05:00:00  AM,7.179,,,,
67,08/12/19 06:00:00  AM,7.280,,,,
68,08/12/19 07:00:00  AM,7.983,,,,
69,08/12/19 08:00:00  AM,8.879,,,,
70,08/12/19 09:00:00  AM,11.528,,,,
71,08/12/19 10:00:00  AM,18.140,,,,
72,08/12/19 11:00:00  AM,12.787,,,,
73,08/12/19 12:00:00  PM,14.613,,,,
74,08/12/19 01:00:00  PM,14.134,,,,
75,08/12/19 02:00:00  PM,16.141,,,,
